Stop_Name,Location_Easting,Location_Northing
POLE HILL ROAD,538064,194518
HAWKSMOUTH,537898,194623
HAWKSMOUTH,537874,194673
KINGS HEAD HILL / SEWARDSTONE ROAD,537639,194874
KINGS HEAD HILL / SEWARDSTONE ROAD,537655,194885
NEWQUAY ROAD,537822,172761
BELLINGHAM ROAD,537914,172262
GRAY'S INN ROAD,530929,181951
CATFORD POLICE STATION,538039,172116
GREEN MAN COMMUNITY HUB,538321,171752
NORTHWICK AVENUE,516340,188082
NORTHWICK AVENUE,516363,188110
INCA DRIVE,543466,173766
YARDLEY LANE,537668,195539
HAWKWOOD CRESCENT,537709,195448
OLD BROMLEY ROAD,538671,171562
CUMMINGS HALL LANE,553740,193216
KYNANCE CLOSE,553457,192931
TAUNTON ROAD,553231,192774
TAUNTON ROAD,553266,192787
HAILSHAM ROAD,552964,192325
HAILSHAM ROAD,552970,192352
ST URSULA'S SCHOOL,553044,192017
ST URSULA'S SCHOOL,553040,192060
GRANGE ROAD,553108,191784
GRANGE ROAD,553147,191689
MYRTLE ROAD,553161,191575
MYRTLE ROAD,553193,191504
HEATON AVENUE,553244,191258
HEATON AVENUE,553277,191172
FARINGDON AVENUE,553314,190985
SHEPHERDS BUSH ROAD,523321,179698
GALLOWS CORNER,553385,190680
GALLOWS CORNER,553407,190641
WESTERN AVENUE,553278,190076
WESTERN AVENUE,553297,190124
BELGRAVE AVENUE,553267,189863
BELGRAVE AVENUE,553281,189885
ROYAL LIBERTY SCHOOL,553249,189679
ROYAL LIBERTY SCHOOL,553241,189645
DURHAM AVENUE,553133,189351
THE DRILL ROUNDABOUT,553141,188829
ARCADIAN GARDENS,530864,191346
BARWELL BUSINESS PARK,517617,162929
BARWELL BUSINESS PARK,517617,162985
GLYNDEBOURNE PARK,543710,165571
ROSEBERY ROAD,529055,190520
THE SQUIRRELS,538782,175634
THE SQUIRRELS,538735,175654
HUNTLEY WAY,522150,169331
CHURCH ROAD,509807,191354
CHASE SIDE,532345,197845
ROSEBERY ROAD,529020,190488
COLDHARBOUR LANE,532542,176448
DOWNE CHURCH,543190,161646
GLYNDEBOURNE PARK,543752,165586
CROFTON ROAD / CROFTON LANE,544452,165843
ELTHAM ROAD / WESTHORNE AVENUE,541444,174615
OLD PALACE OF JOHN WHITGIFT SCHOOL,533693,164000
OLD PALACE OF JOHN WHITGIFT SCHOOL,533785,163973
HILLSIDE AVENUE,527764,191899
HILLSIDE AVENUE,527847,191879
FIELDWAY TRAM STOP >T<,537741,163086
ST DAVID'S CLOSE,537975,166717
LORDSHIP LANE / WOOD VALE,534521,173196
ST DAVID'S CLOSE,538008,166664
BOURNE COURT,534090,155623
GLEBE COTTAGES,548542,170471
LORDSHIP LANE / WOOD VALE,534535,173203
GLEBE COTTAGES,548484,170490
OLD MAIDSTONE ROAD,549054,170166
OLD MAIDSTONE ROAD,548955,170209
WESTMINSTER ABBEY,529831,179444
HOLBORN CIRCUS,531506,181553
RIDGE LANGLEY / EAST ARM,534412,162593
REYNOLDS CLOSE,527976,166072
MUSCHAMP ROAD,527424,165881
MUSCHAMP ROAD,527445,165807
GREEN WRYTHE LANE / WALTHAM ROAD,527350,166153
HOLBORN CIRCUS / FETTER LANE,531323,181565
GREEN WRYTHE LANE / WALTHAM ROAD,527345,166208
WELBECK ROAD,527263,166364
WELBECK ROAD,527245,166453
THORNTON ROAD,527172,166584
THORNTON ROAD,527197,166562
SHAFTESBURY ROAD,526856,166717
SHAFTESBURY ROAD,526798,166779
FULLWELL CROSS,544469,190248
BISHOPSFORD ROAD,526615,166944
SHOE LANE,531473,181168
BISHOPSFORD ROAD,526525,167046
HILLSIDE ROAD,534066,158061
HILLSIDE ROAD,534095,158030
MORFORD WAY,511061,187740
EASTCOTE STATION <>,511140,187642
MEADOW WAY,510952,188035
MEADOW WAY,510975,188009
BRIDLE ROAD,510929,188357
EASTCOTE ROAD,510599,188699
EASTCOTE HIGH ROAD,510564,188783
WORCESTER PARK STATION #,522114,166173
WILTSHIRE LANE,510413,189058
THE WOODMAN,510394,189022
MIDDLETON DRIVE,510272,189585
MIDDLETON DRIVE,510266,189645
NORTHWOOD HILLS STATION <>,510240,190345
NORTHWOOD HILLS STATION <>,510253,190258
NORTHWOOD HILLS CIRCUS,510171,190538
COLCHESTER ROAD,510209,190014
NORWICH ROAD,510229,189772
WORCESTER PARK STATION #,522142,166169
KIDBROOKE GROVE,540415,176945
SHOOTERS HILL ROAD / KIDBROOKE PARK ROAD,540599,177018
RAMSGILL DRIVE,545883,188939
PONDERS END HIGH STREET,535334,196204
SCOTLAND GREEN ROAD,535794,196075
ALEXANDRA ROAD,535749,196100
WHARF ROAD,536572,195456
WHARF ROAD,536512,195487
KING GEORGE SAILING CLUB,537337,195028
ASHLEY ROAD,535215,197158
ASHLEY ROAD,535239,197147
MAYFIELD ROAD,535774,197046
MAYFIELD ROAD,535692,197061
BRIMSDOWN STATION #,536260,197037
THE BELL,513461,175532
EVERSLEY MOUNT,530756,195339
EVERSLEY MOUNT,530782,195253
EVERSLEY PARK ROAD,530944,195582
CHASEVILLE PARK ROAD,530847,195531
BAZILE ROAD,531374,195347
BAZILE ROAD,531318,195362
HADLEY WAY,531519,195276
HADLEY WAY,531593,195215
OLD PARK RIDINGS,531801,195146
OLD PARK RIDINGS,531942,195068
RUISLIP ROAD EAST,514418,182302
CHILDS HILL / CRICKLEWOOD LANE,525085,186536
ORCHARD ROAD,517535,178032
EDENSOR ROAD / NEW CHISWICK POOL,521306,177374
RUISLIP ROAD EAST,514410,182333
CHARDIN ROAD,521221,178577
TITCHFIELD ROAD,536055,198801
MALVERN ROAD,536242,198779
CLIFTON ROAD,514466,182237
ENFIELD LOCK STATION #,536347,198780
ENFIELD LOCK STATION #,536503,198765
ORDNANCE ROAD / MOLLISON AVENUE,537004,198734
MOLLISON AVENUE,536813,198757
GREENFORD BROADWAY,514275,182297
MILL HILL EAST STATION <>,524077,191482
GREENFORD BROADWAY,514252,182291
MIDDLETON AVENUE,547186,171115
WESTHORNE AVENUE / ST BARNABAS CHURCH,542316,175460
APPLETON ROAD,542109,175491
APPLETON ROAD,542177,175486
ROCHESTER WAY / WENDOVER ROAD,541752,175650
ROCHESTER WAY / WENDOVER ROAD,541816,175630
ROCHESTER WAY / BROAD WALK,541425,175889
ROCHESTER WAY / BROAD WALK,541387,175929
BROOK LANE,541009,176226
WRICKLEMARSH ROAD,540911,176486
PEMBERTON GARDENS,548448,188778
WHALEBONE LANE NORTH,548123,191468
ROMFORD ROAD,548207,191334
HAINAULT FOREST GOLF CLUB,547854,191753
HAINAULT FOREST GOLF CLUB,547914,191735
FOWLER ROAD,547327,192327
FOWLER ROAD,547329,192368
LAMBOURNE ROAD,546466,193217
LAMBOURNE ROAD,546448,193275
DENEHURST GARDENS,519648,180240
CHASE CROSS,550984,191684
CHASE CROSS,551088,191771
THE SPANIARDS INN,526662,187263
THE SPANIARDS INN,526619,187193
ACTON FIRE STATION,519685,180172
MONTPELIER ROAD,517517,181721
STEYNE ROAD,519887,180197
FAIRLEA PLACE,517462,181907
FAIRLEA PLACE,517429,182004
ST BARNABAS CHURCH,517406,182182
ST BARNABAS CHURCH,517379,182247
HARROW VIEW ROAD,516986,182108
PITSHANGER LIBRARY,517069,182149
KENT GARDENS,516793,182039
KENT GARDENS,516704,182025
SCOTCH COMMON,516326,182030
TOWNMEAD ROAD,525841,175792
STAMFORD ROAD / HEALTH CENTRE,547486,184332
HIGH HOLBORN,530439,181504
RIDGE LANGLEY,534368,162627
NORTHOVER / SHROFFOLD ROAD,539935,172078
NORTHOVER / SHROFFOLD ROAD,539927,172074
LONDON METROPOLITAN UNIVERSITY,534352,181309
PARK AVENUE,540343,170638
PARK AVENUE,540358,170605
GLYNDE ROAD,548166,175681
SOUTHALL STATION #,512608,179755
CAMDEN TOWN / KENTISH TOWN ROAD,528924,183974
IFFLEY ROAD,522999,178769
MANOR HOUSE STATION <>,532167,187560
ENFIELD TOWN STATION #,533034,196587
TOLLERS LANE / THE CROSSWAYS,530911,157706
ST ANDREW'S CHURCH,554447,186992
ST ANDREW'S CHURCH,554399,187000
KNIGHTSWOOD ROAD,552192,183052
KNIGHTSWOOD ROAD,552173,183032
ST ALBANS ROAD,524479,196853
FIELDGATE STREET,534249,181596
FROGMORE,525264,174839
WESTMINSTER CITY HALL,529441,179254
BUCKINGHAM ROAD,519031,191485
CARLTON ROAD,546165,171697
THE ROYAL COURTS OF JUSTICE,530928,181048
FIELDGATE STREET,534165,181560
OLD COULSDON / TUDOR ROSE,531149,158069
PALLET WAY,541984,176919
PALLET WAY,542057,176913
THE EAST LONDON MOSQUE,534375,181659
VANBRUGH PARK / STRATHEDEN ROAD,540241,177265
THE EAST LONDON MOSQUE,534400,181692
THE ROYAL COURTS OF JUSTICE,531003,181024
WARDOUR STREET,529486,181331
ORPINGTON ROAD,545331,168272
ORPINGTON ROAD,545293,168386
KIMBERLEY AVENUE,535191,175983
NUNHEAD STATION #,535472,175966
WESTMINSTER CITY HALL,529367,179215
OTTERFIELD ROAD,506261,180908
MILBURN DRIVE,506314,180929
RAINHAM WAR MEMORIAL,552028,182249
LAMBTON ROAD,523189,169372
UXBRIDGE STATION <>,505579,184206
UXBRIDGE STATION <>,505544,184253
WADDON STATION #,531084,164652
BROADMEAD ROAD,512582,182805
BROADMEAD ROAD,512472,182774
STATION CRESCENT,506406,172124
STATION CRESCENT,506485,172095
EDGWAREBURY LANE / EDGWARE WAY,519333,192738
TUDOR ROAD,545615,183950
FLEET STREET / CITY THAMESLINK #,531609,181254
BOOTH MEMORIAL,535172,181957
TUDOR ROAD,545764,183964
LONGHEATH GARDENS,535597,167710
LONGHEATH GARDENS,535539,167592
MAPLE ROAD,518038,167987
PLUMSTEAD COMMON ROAD / ERINDALE TERRACE,544916,177744
BOOTH MEMORIAL,535098,181950
RAPHAEL PARK,551999,189557
RAPHAEL PARK,551890,189453
ISLEWORTH LIBRARY,516133,175568
WORTON ROAD,516124,175673
BELLEGROVE ROAD / SHERWOOD ROAD,545199,176120
BELLEGROVE ROAD / SHERWOOD ROAD,545243,176124
THOROGOOD WAY,551209,184002
THE CATFORD CENTRE,537724,173700
NORTH COMMON ROAD,518269,180739
BARKING INDUSTRIAL PARK,546169,183733
HOLLY ROAD,514270,170813
HOLLY ROAD,514268,170776
EASTCOTE STATION <>,511153,187578
FERNCROFT AVENUE,511363,187231
FERNCROFT AVENUE,511400,187207
WHITBY ROAD,511671,186862
WHITBY ROAD,511659,186901
THE FAIRWAY,511973,186446
THE FAIRWAY,512026,186396
LONG DRIVE,512182,186165
MALVERN AVENUE,512220,186132
VICTORIA ROAD,512345,185822
VICTORIA ROAD,512365,185824
PRITCHARD'S ROAD,534604,183244
TALBOT ROAD / GORESBROOK PARK,548656,184504
TALBOT ROAD / GORESBROOK PARK,548726,184504
HOLY CROSS SCHOOL,538131,173417
HOLY CROSS SCHOOL,538091,173441
LARCHWOOD AVENUE,550084,191771
LARCHWOOD AVENUE,550073,191829
LEIGHAM COURT ROAD / STREATHAM COMMON,531193,171141
ELTHAM HIGH STREET / ROPER STREET,543044,174416
WHITE HART LANE,549475,191007
COBORN ROAD,536814,182672
RICHMOND ROAD,516506,175455
RICHMOND ROAD,516482,175586
ROCK STREET,531477,186703
DOWNE COURT RIDING CENTRE,542632,162683
HEATHFIELD PARK DRIVE,546596,188689
COBORN ROAD,536783,182641
HEATHFIELD PARK DRIVE,546591,188644
KENSINGTON HIGH STREET / EARLS COURT RD,524986,179269
GLENHURST AVENUE / LISSENDEN GARDENS,528521,185918
GREEN STREET,535152,197073
DURANTS PARK,535102,196841
MARLBOROUGH PARK AVENUE,546149,173781
DOWNE ROAD / MITCHAM LIBRARY,527836,169273
QUEEN VICTORIA STREET,531656,180988
COLINDALE AVENUE,520847,189516
LOWER DOWNS ROAD,523745,169786
LOWER DOWNS ROAD,523766,169796
BEECH CLOSE,527617,165875
BEECH CLOSE,527584,165842
KENLEY TREATMENT WORKS,532703,160076
KENLEY TREATMENT WORKS,532853,159997
NEW ELTHAM STATION # / SOUTHWOOD ROAD,544000,172882
ELGIN AVENUE / MAIDA VALE STATION <>,526009,182933
BOW CHURCH,537628,182915
MARSTON ROAD,516650,171105
MARSTON ROAD,516681,171011
THREE KINGS POND,528047,168772
VANBRUGH HILL,539571,178275
HOLBORN CIRCUS / FETTER LANE,531271,181596
GOLF LINKS ESTATE,514235,181069
GOLF LINKS ESTATE,514236,180991
THE CAUSEWAY,515888,163381
OLD FARLEIGH ROAD,535064,162314
PARKLAND AVENUE,556013,185262
PARKLAND AVENUE,556081,185207
HANNIBAL WAY,530544,164071
HANNIBAL WAY,530605,164102
WANDSWORTH POLICE STATION,525447,174691
RUGBY AVENUE,516849,185405
OAKBURY ROAD,525728,176166
MARSHGATE LANE,538048,183249
SPRINGFIELD PLACE,520245,168505
CLAYBURY BROADWAY,542100,189858
LEA VALLEY RIDING CENTRE,535874,186835
LEE VALLEY RIDING CENTRE,535972,186923
ABBEY LANE,538313,183535
MOUNTCOMBE CLOSE,518127,166851
MOUNTCOMBE CLOSE,518083,166902
MILE END STATION <>,536500,182555
COULSDON LIBRARY,529769,159483
LION GREEN ROAD,529797,159322
WARTON ROAD,538360,183633
FULWELL STATION #,515051,171841
FULWELL STATION #,515003,171946
MOUNT PLEASANT,531130,182258
SWYNCOMBE AVENUE,516715,178585
SWYNCOMBE AVENUE,516669,178600
PORTNALLS ROAD,529511,159452
QUEEN ANNE AVENUE,540200,168474
QUEEN ANNE AVENUE,540146,168414
JAMES AVENUE,548876,187125
JAMES AVENUE,548893,187110
SHIRLEY PARK / SHIRLEY AVENUE,535075,165989
BENNETTS CASTLE LANE,547460,186894
CROYDON FLYOVER,532319,165288
STRATFORD HIGH ST STN [DLR] / CARPENTERS ROAD,538554,183887
ACACIA ROAD,520159,180836
ACACIA ROAD,520145,180766
RICHMOND STATION <> #,518053,175191
RECTORY ROAD,511121,176532
RECTORY ROAD,511134,176553
IVYBRIDGE,516069,174508
CHERTSEY ROAD,516092,174388
MARKET PLACE,526031,189018
SOUTHALL BROADWAY,512784,180256
KINGSMEADOW,519650,168869
STATION ROAD / HIGH STREET,538273,166028
ST PETER'S CHURCH,554804,190271
MARKET PLACE,526063,188989
KINGSGATE PLACE,525131,184017
FINSBURY SQUARE,532797,181956
LEA BRIDGE ROUNDABOUT,534970,186208
ICKBURGH SCHOOL,536161,185093
ICKBURGH SCHOOL,536188,185025
TRELAWNEY ROAD,544815,191440
TRELAWNEY ROAD,544764,191409
HAINAULT STATION <>,545164,191580
HAINAULT STATION <>,545140,191558
BEECH GROVE,545497,191713
BEECH GROVE,545446,191682
HAINAULT FIRE STATION,545727,191804
HAINAULT FIRE STATION,545703,191783
STAGGART GREEN,546008,191917
STAGGART GREEN,546004,191905
SOUTH TOTTENHAM STATION #,533647,188618
ANERLEY ROAD / ANERLEY STATION #,534535,169890
ANERLEY PARK,534409,170010
SOUTH TOTTENHAM STATION #,533634,188643
STRATFORD HIGH ST [DLR]/ CARPENTERS ROAD,538625,183939
BEACONSFIELD ROAD,535737,198807
NEWHAM TOWN HALL,542637,183467
HIGH STREET NORTH,542519,183560
HERMIT ROAD,539735,181780
DUNCRIEVIE ROAD,538958,174061
BRUCE GROVE STATION # / HIGH ROAD,533806,190082
CANN HALL ROAD,539147,185581
CAMBRIDGE ROAD,516364,171161
CAMBRIDGE ROAD,516290,171132
STATION APPROACH,510771,185042
STATION APPROACH / SOUTH RUISLIP STATION <>#,510714,185169
R A F NORTHOLT,510441,185532
R A F NORTHOLT,510491,185487
RUISLIP GARDENS STATION <>,510220,185823
RUISLIP GARDENS STATION <>,510257,185797
NORTHDOWN CLOSE,509831,186385
WEMBLEY TRIANGLE,518752,185250
CROOK LOG LEISURE CENTRE,547724,175549
PUTNEY BRIDGE STATION <>,524385,175900
PUTNEY BRIDGE STATION <> / GONVILLE STREET,524305,175830
ST ANN'S ROAD,533635,188178
LEISURE WAY,526488,191211
COMMERCIAL STREET / WORSHIP STREET,533432,182085
ALLEN ROAD,553421,182588
ALLEN ROAD,553356,182550
KING HENRY'S DRIVE TRAM STOP >T<,537923,162607
CASTLE HILL AVENUE,537857,162792
MANBEY GROVE,539099,184815
WHALEBONE LANE NORTH,548423,189269
HAMLET ROAD,534176,170285
FELTHAM ASSEMBLY HALL,510812,173640
FERN GROVE,510787,173551
MEON ROAD,520373,179799
PETERSFIELD ROAD,520396,179763
SLOANE STREET / KNIGHTSBRIDGE STATION <>,527820,179575
DAGENHAM HEATHWAY STATION <>,549062,184660
BROWNS ROAD,518591,166789
KING'S CROSS STATION <> #,530277,182951
ROYAL DOCKS MEDICAL CENTRE,543243,181012
ROYAL DOCKS MEDICAL CENTRE,543281,180974
WEST HILL / SHEPHERDS LANE,553503,174194
BASTON SCHOOL,540685,165882
HAYES STREET,540538,166103
CONWAY ROAD,523171,186543
FLOWER LANE / SACRED HEART CHURCH,521547,192149
ST MICHAELS CHURCH,521615,192121
PARKMEAD GARDENS,521661,191803
PARKMEAD GARDENS,521657,191776
BUNNS LANE BRIDGE,522051,191326
BUNNS LANE BRIDGE,522011,191324
COPTHALL GARDENS / PAGE STREET,522293,191351
COPTHALL GARDENS / PAGE STREET,522370,191385
PAGE STREET,522518,191377
PAGE STREET,522504,191363
PIXTON WAY,535983,162786
MONKS HILL,536073,162799
STOKE NEWINGTON POLICE STATION,533576,186089
STOKE NEWINGTON ROAD / AMHURST ROAD,533589,185881
CASTLE GREEN RECREATION GROUND,547404,183565
CASTLE GREEN / RIPPLESIDE COMMERCIAL EST,547297,183544
COCKFOSTERS ROAD,528469,195691
PEMBRIDGE VILLAS / WESTBOURNE GROVE,525279,181050
MANFORD WAY,546223,192036
TUNSTALL AVENUE,546163,191969
COPPICE PRIMARY SCHOOL,546479,192434
COPPICE PRIMARY SCHOOL,546456,192320
COPPICE PATH,546553,192684
COPPICE PATH,546551,192646
BROCKET WAY,546679,192913
BROCKET WAY,546662,192887
SWAN ROAD,505921,179550
WANSTEAD STATION <>,540686,188282
HOLBORN STATION <>,530533,181447
GOLFSIDE CLOSE,527009,193166
PRINCESS MAY ROAD,533560,185530
GOLFSIDE CLOSE,527040,193143
ST PAULS CRAY ROAD / CHURCH LANE,544573,170015
ROYAL PARADE,544413,170151
UPLAND ROAD,532535,164051
EUSTON STATION <>#,529630,182498
ELEY TRADING ESTATE,535565,192154
PRINCESS MAY ROAD,533574,185576
TURNERS ROAD,536766,181727
BEAUFORT DRIVE,525186,189283
BEAUFORT DRIVE,525149,189286
DALSTON KINGSLAND STATION #,533551,185070
HIGH ROAD LEYTON / BAKERS ARMS,537726,188070
HIGH ROAD LEYTON / BAKERS ARMS,537737,188085
DALSTON KINGSLAND STATION #,533538,185039
KINGSLAND ROAD / FOREST ROAD,533518,184577
MONTROSE ROAD,515502,190004
DALSTON JUNCTION STATION #,533504,184603
CADOGAN GARDENS / SLOANE SQUARE,527910,178619
ELTHAM HIGH STREET / PASSEY PLACE,542801,174409
BECMEAD AVENUE,530181,172067
GENEVA GARDENS,548433,188840
LEA BRIDGE ROUNDABOUT,534861,186087
LONG DRIVE,521467,181449
THE FAIRWAY,521494,181377
GROSVENOR ROAD,529141,177888
THE DRIVE METHODIST CHURCH,542340,188311
WEST DRAYTON STATION #,506040,180137
BECKENHAM HIGH STREET / KELSEY SQUARE,537249,169367
ASH GROVE,535159,169311
ASH GROVE,535204,169257
ALDWYCH / DRURY LANE,530643,180986
EAGLE LANE,540076,189221
SNARESBROOK STATION <>,540153,188863
SNARESBROOK STATION <>,540204,188836
MARTINS CORNER / VALENCE AVENUE,547738,185789
ARBOUR WAY,552661,185480
ARBOUR WAY,552686,185431
WEMBLEY PARK STATION <>,519397,186382
WEMBLEY PARK STATION <>,519388,186364
WEMBLEY PARK STATION <>,519327,186246
EMPIRE WAY,519192,186192
EMPIRE WAY,519099,186168
FULTON ROAD,519093,186020
HACKNEY CENTRAL/ MARE STREET,534909,184880
H M PRISON HOLLOWAY,530159,185489
KNIGHTSBRIDGE STATION <>,527805,179591
HAGGERSTON STATION # / DOWNHAM ROAD,533489,183940
LABURNUM STREET,533482,183599
ST LEONARD'S HOSPITAL,533464,183433
ST LEONARD'S HOSPITAL,533478,183405
GEFFRYE MUSEUM,533467,183241
HOXTON STATION # / GEFFRYE MUSEUM,533486,183136
HOXTON STATION >LOL< / GEFFRYE MUSEUM,533448,182952
PRIMROSE STREET,533381,181845
PRIMROSE STREET,533368,181862
LIVERPOOL STREET STATION <> #,533318,181632
THREADNEEDLE STREET,533060,181181
THREADNEEDLE STREET,533052,181205
MONUMENT STATION <>,532832,180692
KING CHARLES ROAD,519235,166288
INCHMERY ROAD,537766,172911
PENGE / PAWLEYNE ARMS,535556,170087
KNIGHTSBRIDGE STATION <>,527651,179578
HIGH STREET / GREEN LANE,535551,170197
UNION STREET,532512,179888
SOUTHWARK POLICE STATION,532134,179454
NEWINGTON BUTTS,531808,178683
NEWINGTON BUTTS,531848,178704
PENTON PLACE,531705,178488
SWEEPS LANE,547593,167949
BROMLEY SOUTH STATION #,540406,168775
NELSON'S ROW,529641,175416
ST LUKE'S AVENUE,529734,175458
BRIDGE ROAD / NORTHEND ROAD,551648,176488
HOWBURY LANE / SLADE GREEN STATION #,552235,176487
WHITEHALL LANE / SLADE GREEN STATION,552216,176537
KNIGHTSBRIDGE STATION <> / HARRODS,527648,179536
SHEARWOOD CRESCENT,552130,175978
SHEARWOOD CRESCENT,552146,175993
WATERSIDE,551541,174900
WATERSIDE,551557,174894
NORTHALL ROAD / BARNEHURST STATION #,550210,176151
NORTHALL ROAD / BARNEHURST STATION #,550149,176095
LYNETTE AVENUE,528918,174480
LYNETTE AVENUE,528943,174499
CATHLES ROAD,528795,174052
ALDERBROOK ROAD,528782,173882
ALDERBROOK ROAD,528797,173872
MANOR ROAD / MANOR CLOSE,551059,175344
DU CANE COURT,528342,172997
DU CANE COURT,528387,173039
UPPER TOOTING PARK,528223,172681
UPPER TOOTING PARK,528253,172712
LYNWOOD ROAD,527778,172103
ST MARY'S ROAD,550405,173108
DAFFORNE ROAD,527940,172279
HEBDON ROAD,527688,171876
BARTON ROAD,548153,170781
LYNWOOD ROAD,527757,172034
ELLENBOROUGH ROAD,548367,171128
MOUNT MASCAL FARM,549275,172807
MOUNT MASCAL FARM,549283,172784
NORTH CRAY ROAD / VICARAGE ROAD,549623,173183
BROADWATER ROAD,527554,171648
BROADWATER ROAD,527621,171737
EAST ACTON LANE,520993,180064
EAST ACTON LANE,521125,180063
PARKSIDE CROSS,550937,176088
PARKSIDE CROSS,551049,176097
WEST END LANE,525443,184068
PUTNEY PIER >R<,524073,175668
QUEX ROAD,525388,183956
PRIORY ROAD,525560,184021
ST JOHN'S WOOD STATION <>,526769,183256
KEW BRIDGE,519005,177946
KEW BRIDGE STATION,519005,178095
LONDON BRIDGE STATION # <>,532931,180265
LONDON BRIDGE STATION # <>,532862,180295
PUTNEY PIER >R<,524102,175666
ROTHERHITHE POLICE STATION,535369,179191
HOLLY COTTAGE,529276,199421
HAREWOOD GARDENS,534884,159744
HAREWOOD GARDENS,534931,159682
DEPTFORD PARK SCHOOL,536270,178389
DEPTFORD PARK SCHOOL,536254,178418
MERLE AVENUE,505154,190425
LOVETT ROAD,505110,189984
LOVETT ROAD,505125,189910
ST MARY'S ROAD,505177,189621
ST MARY'S ROAD,505184,189574
PRIORY AVENUE,505233,189182
EVELYN STREET / GRINSTEAD ROAD,536436,178276
PRIORY AVENUE,505224,189233
DENE ROAD,508999,191535
DENE ROAD,509045,191521
MYRTLESIDE CLOSE,508626,191472
MOUNT VERNON / BISHOPS WOOD HOSPITALS,507404,191811
LITTLEBOURNE FARM,506511,191437
LITTLEBOURNE FARM,506498,191414
SHEPHERDS HILL HOUSE,506338,191249
SHEPHERDS HILL HOUSE,506338,191231
THE HAREFIELD ACADEMY,505859,190762
THE HAREFIELD ACADEMY,505908,190773
THE GREEN,505269,190569
NORTH CHEAM / QUEEN VICTORIA,523485,165087
LARNER ROAD,551582,177288
LARNER ROAD,551610,177343
LITCHFIELD AVENUE,539235,184515
ST HELIER AVENUE / ROSE HILL ROUNDABOUT,526047,166702
ORPINGTON BUS STATION #,545546,165898
ST HELIER AVENUE / ROSE HILL ROUNDABOUT,526079,166722
WRYTHE LANE / ROSEHILL ROUNDABOUT,526166,166481
WRYTHE LANE / ROSEHILL ROUNDABOUT,526085,166524
ROMFORD STATION #,551491,188433
NORTHEND ROAD / COLYERS LANE,551584,176793
ST JOHN'S SCHOOL,531741,177218
JOHN RUSKIN STREET,531586,177336
CRANWICH ROAD,533052,187955
CRANWICH ROAD,532969,187959
STAMFORD HILL STATION #,533359,187911
STAMFORD HILL STATION #,533288,187943
CLAPTON COMMON,534132,187594
CLAPTON COMMON,534155,187600
FORBURG ROAD,534413,187327
KINGS REACH BUILDING,531488,180397
OSBALDESTON ROAD,534362,187421
JESSAM AVENUE,534513,187152
JESSAM AVENUE,534488,187176
CAZENOVE ROAD,534548,186951
ROSSINGTON STREET,534599,186819
ROSSINGTON STREET,534620,186813
CLAPTON GIRLS' ACADEMY,535036,185661
CLAPTON GIRLS' ACADEMY,535075,185610
KINGS REACH BUILDING,531507,180388
HACKNEY BATHS,535130,185349
CLAPTON SQUARE,535022,185242
MARE STREET / NARROW WAY,534926,185201
ST THOMAS'S SQUARE,534952,184350
ST THOMAS'S SQUARE,534966,184395
MARE STREET / VICTORIA PARK ROAD,534837,183584
ST JOSEPH'S HOSPICE,534856,183754
OLD FORD ROAD,534946,183016
CEPHAS STREET,535045,182249
BARBICAN STATION <>,532101,181936
BARBICAN STATION <>,532088,181886
HEATHWAY,548972,184912
REEDE ROAD,549049,184938
THE CROSSWAYS,531231,157860
MORPETH STREET,535464,182886
BONNER STREET,535592,182959
POLLARD ROAD,527305,193716
POLLARD ROAD,527358,193655
WINDMILL ROAD,509342,170232
EAST END ROAD,524955,190324
TEMPLE FORTUNE LANE,524834,188669
TEMPLE FORTUNE LANE,524895,188501
GREEN LANE,543605,173579
UXBRIDGE STATION <>,505617,184178
UXBRIDGE STATION <>,505585,184192
UXBRIDGE STATION <>,505602,184169
BRIXTON STATION <> #,531012,175360
KINGS HEAD HILL,538409,194376
DUNTON ROAD,533568,178378
KINGS HEAD HILL,538401,194344
STATION ROAD / CHASTILIAN ROAD,551665,173968
CHASTILIAN ROAD / STATION ROAD,551713,173942
CRAYFORD STATION #,551647,174356
CRAYFORD STATION #,551647,174389
CRAYFORD TOWN HALL,551644,174632
WANDSWORTH COMMON STATION #,527581,173512
WANDSWORTH COMMON STATION #,527537,173462
SALAMANCA STREET,530471,178600
SALAMANCA STREET,530464,178645
ALBERT EMBANKMENT / PRINCE CONSORT HOUSE,530428,178502
OVAL STATION <>,531137,177530
CORBETS TEY,556284,185070
COVENT GARDEN MARKET EAST SIDE,530120,177599
COVENT GARDEN MARKET EAST SIDE,530154,177724
WILCOX ROAD,530046,177274
MAYPLACE RD WEST / BEXLEYHEATH CLOCK TWR,549339,175287
PELHAM ROAD,549210,175537
GARDEN AVENUE,549284,175825
PELHAM ROAD,549198,175627
LONG LANE / WOOLWICH ROAD,549381,176121
WOOLWICH ROAD / LONG LANE,549389,176053
HEVERSHAM ROAD,549189,176271
HEVERSHAM ROAD,549158,176309
BELVEDERE ROAD,548936,176447
BEDONWELL ROAD / LONG LANE,548935,176564
HOLLINGBOURNE AVENUE,549084,176883
HOLLINGBOURNE AVENUE,549068,176828
LITTLE HEATH ROAD,549052,177241
LITTLE HEATH ROAD,549096,177087
PARSONAGE MANORWAY,549071,177552
PARSONAGE MANORWAY,549077,177589
BEDONWELL ROAD / DRYHILL ROAD,548928,177717
